     NET ID | general concept                          | notes
            |                                          | vs. delenda
------------|------------------------------------------|-----------------------------------------------
inquisition | same as legion/iridescent with standard  | fixed-nodes:
            | full-shuffled bulletformat dataloading.  | Elo   | -33.65 +- 8.51 (95%)
            |                                          | SPRT  | N=25000 Threads=1 Hash=16MB
            |                                          | LLR   | -3.50 (-2.94, 2.94) [0.00, 3.00]
            |                                          | Games | N: 2662 W: 665 L: 922 D: 1075
            |                                          | Penta | [83, 411, 550, 254, 33]
            |                                          | https://chess.swehosting.se/test/10768/
            |                                          | vs. delenda
------------|------------------------------------------|-----------------------------------------------
   resonant | i actually cannot remember what the      | resonant fixed-nodes:
      angel | difference between these nets is.        | Elo   | -14.89 +- 6.18 (95%)
            | at least one of them upsampled the new   | SPRT  | N=25000 Threads=1 Hash=16MB
            | data and cleaned out the old stuff.      | LLR   | -2.97 (-2.94, 2.94) [0.00, 3.00]
            | probably only angel? not sure.           | Games | N: 4740 W: 1241 L: 1444 D: 2055
            |                                          | Penta | [94, 674, 1017, 511, 74]
            | i wish i wrote things down instead of    | https://chess.swehosting.se/test/10779/
            | just YOLOing them into new runs.         | vs. delenda
            |                                          | 
            | the important part is that legion        | angel fixed-nodes:
            | through angel are all on top of a merged | Elo   | -15.40 +- 6.26 (95%)
            | delenda weight file, so they have been   | SPRT  | N=25000 Threads=1 Hash=16MB
            | trained without a factoriser.            | LLR   | -3.09 (-2.94, 2.94) [0.00, 3.00]
            |                                          | Games | N: 4900 W: 1290 L: 1507 D: 2103
            |                                          | Penta | [112, 709, 993, 556, 80]
            |                                          | https://chess.swehosting.se/test/10782/
            |                                          | vs. delenda
------------|------------------------------------------|-----------------------------------------------
  broadside | direct finetune on top of the non-merged | fixed-nodes:
            | delenda checkpoint, with new data.       | Elo   | -1.63 +- 2.50 (95%)
            |                                          | SPRT  | N=25000 Threads=1 Hash=16MB
            | clearly, factorisation is massive, even  | LLR   | -2.97 (-2.94, 2.94) [0.00, 3.00]
            | for fine-tuning runs. lesson learned.    | Games | N: 29188 W: 8132 L: 8269 D: 12787
            |                                          | Penta | [558, 3611, 6366, 3528, 531]
            |                                          | https://chess.swehosting.se/test/10787/
            |                                          | vs. delenda
            |                                          |
            |                                          | LTC:
            |                                          | Elo   | -3.16 +- 2.79 (95%)
            |                                          | SPRT  | 40.0+0.40s Threads=1 Hash=128MB
            |                                          | LLR   | -2.96 (-2.94, 2.94) [0.00, 3.00]
            |                                          | Games | N: 15380 W: 3464 L: 3604 D: 8312
            |                                          | Penta | [40, 1903, 3932, 1787, 28]
            |                                          | https://chess.swehosting.se/test/10788/
            |                                          | vs. delenda
------------|------------------------------------------|-----------------------------------------------
     spigot | same as broadside, but removing data     | fixed-nodes:
            | before 2024-05-01, and 4x upsampling all | Elo   | -18.62 +- 6.63 (95%)
            | 25knodes data.                           | SPRT  | N=25000 Threads=1 Hash=16MB
            |                                          | LLR   | -3.24 (-2.94, 2.94) [0.00, 3.00]
            |                                          | Games | N: 4222 W: 1095 L: 1321 D: 1806
            |                                          | Penta | [116, 548, 958, 424, 65]
            |                                          | https://chess.swehosting.se/test/10790/
            |                                          | vs. delenda
------------|------------------------------------------|-----------------------------------------------
 foundation | broadside trained locally via viripacks, | fixed-nodes:
            | 6gb mixing buffer, uniform sampling.     | TBD
            |                                          | vs. delenda
------------|------------------------------------------|-----------------------------------------------
